CustomerID,Recency,Frequency,Monetary,AvgOrderValue,TotalItems,UniqueProducts,Country,AvgBasketSize,log_Recency,log_Frequency,log_Monetary,log_TotalItems,log_UniqueProducts
12346,326,12,77556.46,2281.0723529411766,74285,27,United Kingdom,6190.416666666667,5.7899601708972535,2.5649493574615367,11.258774359980725,11.215677787648746,3.332204510175204
12347,2,8,5633.32,22.26608695652174,3286,126,Iceland,410.75,1.0986122886681098,2.1972245773362196,8.63663174483544,8.097730573664219,4.844187086458591
12348,75,5,2019.4,39.596078431372554,2714,25,Finland,542.8,4.330733340286331,1.791759469228055,7.6110507905938976,7.906547232368036,3.258096538021482
12349,19,4,4428.69,25.3068,1624,138,Italy,406.0,2.995732273553991,1.6094379124341003,8.39608488316401,7.393263094763838,4.9344739331306915
12350,310,1,334.4,19.670588235294115,197,17,Norway,197.0,5.739792912179234,0.6931471805599453,5.815323849389109,5.288267030694535,2.8903717578961645
12351,375,1,300.93,14.33,261,21,Unspecified,261.0,5.929589143389895,0.6931471805599453,5.710195202428391,5.568344503761097,3.091042453358316
12352,36,10,2849.84,27.668349514563108,724,70,Norway,72.4,3.6109179126442243,2.3978952727983707,7.9553689666784315,6.586171654854675,4.2626798770413155
12353,204,2,406.76,16.948333333333334,212,23,Bahrain,106.0,5.3230099791384085,1.0986122886681098,6.010678766031786,5.3612921657094255,3.1780538303479458
12354,232,1,1079.4,18.610344827586207,530,58,Spain,530.0,5.4510384535657,0.6931471805599453,6.985086621918461,6.274762021241939,4.07753744390572
12355,214,2,947.61,27.074571428571428,543,35,Bahrain,271.5,5.3706380281276624,1.0986122886681098,6.854997755239065,6.298949246855942,3.58351893845611
12356,23,6,6373.68,44.57118881118881,3417,104,Portugal,569.5,3.1780538303479458,1.9459101490553132,8.76008917268833,8.136810863675537,4.653960350157523
12357,33,3,18287.66,61.78263513513514,6587,261,Switzerland,2195.6666666666665,3.5263605246161616,1.3862943611198906,9.814036474622236,8.79300509129753,5.568344503761097
12358,2,5,3887.07,50.48142857142857,1079,56,Austria,215.8,1.0986122886681098,1.791759469228055,8.265668169533484,6.984716320118266,4.04305126783455
12359,58,10,8935.94,24.482027397260275,2752,305,Cyprus,275.2,4.07753744390572,2.3978952727983707,9.097948527696552,7.920446505142607,5.723585101952381
12360,52,8,4252.89,19.59857142857143,2459,160,Austria,307.375,3.970291913552122,2.1972245773362196,8.355589137409874,7.807916628926408,5.081404364984463
12361,287,4,511.25,17.629310344827587,235,18,Belgium,58.75,5.662960480135946,1.6094379124341003,6.238812787119009,5.4638318050256105,2.9444389791664403
12362,3,11,5356.23,20.06078651685393,2230,201,Belgium,202.72727272727272,1.3862943611198906,2.4849066497880004,8.586202329437555,7.7102051944325325,5.308267697401205
12363,110,2,552.0,24.0,408,23,Unspecified,204.0,4.709530201312334,1.0986122886681098,6.315358001522335,6.013715156042802,3.1780538303479458
12364,8,4,1313.1,15.448235294117646,1506,70,Belgium,376.5,2.1972245773362196,1.6094379124341003,7.180907299649593,7.317876198626496,4.2626798770413155
12365,291,2,641.38,29.153636363636362,174,22,Cyprus,87.0,5.676753802268282,1.0986122886681098,6.465180028897591,5.1647859739235145,3.1354942159291497
12366,634,1,500.24,166.74666666666667,296,3,Cyprus,296.0,6.453624998892692,0.6931471805599453,6.217085028297085,5.6937321388027,1.3862943611198906
12367,4,1,168.9,15.354545454545455,173,11,Denmark,173.0,1.6094379124341003,0.6931471805599453,5.135210028677887,5.159055299214529,2.4849066497880004
12368,628,1,917.6999999999999,50.98333333333333,330,18,Cyprus,330.0,6.444131256700441,0.6931471805599453,6.822959627277421,5.802118375377063,2.9444389791664403
12369,413,3,1791.15,19.25967741935484,1241,90,Austria,413.6666666666667,6.025865973825314,1.3862943611198906,7.491171295388921,7.124478262493424,4.51085950651685
12370,51,7,4320.31,21.387673267326736,2605,168,Austria,372.14285714285717,3.9512437185814275,2.0794415416798357,8.371313876010715,7.8655717576847906,5.1298987149230735
12371,45,5,4067.38,24.35556886227545,1436,134,Switzerland,287.2,3.828641396489095,1.791759469228055,8.31100016480189,7.270312886079025,4.90527477843843
12372,72,3,1298.04,24.962307692307693,794,34,Denmark,264.6666666666667,4.290459441148391,1.3862943611198906,7.169380809114136,6.678342114654332,3.5553480614894135
12373,311,3,1127.65,22.110784313725492,516,36,Austria,172.0,5.7430031878094825,1.3862943611198906,7.028777507229587,6.248042874508429,3.6109179126442243
12374,25,4,2989.2200000000003,36.01469879518073,1362,79,Austria,340.5,3.258096538021482,1.6094379124341003,8.003102242273277,7.217443431696533,4.382026634673881
12375,11,2,457.5,26.91176470588235,178,14,Finland,89.0,2.4849066497880004,1.0986122886681098,6.127960291696519,5.187385805840755,2.70805020110221
12376,390,2,503.15,38.70384615384615,240,11,Switzerland,120.0,5.968707559985366,1.0986122886681098,6.222873842839224,5.484796933490655,2.4849066497880004
12377,315,4,3426.32,22.54157894736842,2105,129,Switzerland,526.25,5.755742213586912,1.6094379124341003,8.139533893646055,7.652545692693921,4.867534450455582
12378,130,2,5416.32,17.994418604651162,3316,281,Switzerland,1658.0,4.875197323201151,1.0986122886681098,8.597356507200939,8.106816038947052,5.641907070938114
12379,82,4,1620.22,20.002716049382716,815,58,Belgium,203.75,4.418840607796598,1.6094379124341003,7.390934231218893,6.704414354964107,4.07753744390572
12380,22,11,9676.300000000001,34.93249097472925,3355,156,Belgium,305.0,3.1354942159291497,2.4849066497880004,9.177538215743802,8.118505067587098,5.056245805348308
12381,5,5,1845.31,21.21045977011494,808,70,Norway,161.6,1.791759469228055,1.791759469228055,7.520944331624911,6.695798917058491,4.2626798770413155
12383,185,5,1850.56,18.69252525252525,1532,84,Belgium,306.4,5.225746673713202,1.791759469228055,7.523783805985769,7.334981878871814,4.442651256490317
12384,29,2,585.27,21.676666666666666,126,26,Switzerland,63.0,3.4011973816621555,1.0986122886681098,6.373780434317173,4.844187086458591,3.295836866004329
12385,379,1,1938.4,29.821538461538463,612,65,Belgium,612.0,5.940171252720432,0.6931471805599453,7.570133925870446,6.418364935936212,4.189654742026425
12386,338,2,660.8,36.71111111111111,568,10,Australia,284.0,5.82600010738045,1.0986122886681098,6.4949633954875114,6.343880434126331,2.3978952727983707
12387,415,1,143.94,15.993333333333332,134,9,Australia,134.0,6.030685260261263,0.6931471805599453,4.976319863681136,4.90527477843843,2.302585092994046
12388,16,8,3901.11,26.719931506849317,2001,83,Australia,250.125,2.833213344056216,2.1972245773362196,8.269272711457157,7.601901959875166,4.430816798843313
12389,403,3,1433.33,29.251632653061222,614,41,Australia,204.66666666666666,6.0014148779611505,1.3862943611198906,7.268453120207762,6.421622267806518,3.7376696182833684
12390,80,1,549.84,17.1825,353,32,Belgium,353.0,4.394449154672439,0.6931471805599453,6.311444385858925,5.869296913133774,3.4965075614664802
12391,22,6,2773.42,9.86982206405694,1220,241,Cyprus,203.33333333333334,3.1354942159291497,1.9459101490553132,7.928196995326099,7.107425474110705,5.488937726156687
12392,591,1,234.75000000000003,33.53571428571429,73,7,Australia,73.0,6.3835066348840055,0.6931471805599453,5.462771921513567,4.30406509320417,2.0794415416798357
12393,72,6,2399.4500000000003,22.42476635514019,1311,63,Australia,218.5,4.290459441148391,1.9459101490553132,7.783411498760109,7.179307969504034,4.1588830833596715
12394,64,2,1272.48,47.12888888888889,819,26,Belgium,409.5,4.174387269895637,1.0986122886681098,7.149508589545504,6.709304340258298,3.295836866004329
12395,19,15,5067.27,19.94988188976378,3733,145,Belgium,248.86666666666667,2.995732273553991,2.772588722239781,8.53075481547577,8.225235324101668,4.983606621708336
12396,674,1,931.43,14.329692307692307,591,65,RSA,591.0,6.51471269087253,0.6931471805599453,6.837794081676172,6.3835066348840055,4.189654742026425
12397,36,2,2409.9,19.126190476190477,1263,110,Belgium,631.5,3.6109179126442243,1.0986122886681098,7.7877554007552545,7.142036574706803,4.709530201312334
12398,46,1,1635.6599999999999,19.24305882352941,1394,85,Switzerland,1394.0,3.8501476017100584,0.6931471805599453,7.4004128587924045,7.240649694255466,4.454347296253507
12399,119,7,1962.3,17.83909090909091,2198,67,Belgium,314.0,4.787491742782046,2.0794415416798357,7.582382009904704,7.695757990554761,4.219507705176107
12400,414,1,205.25,18.65909090909091,91,11,Australia,91.0,6.028278520230698,0.6931471805599453,5.32908902521479,4.5217885770490405,2.4849066497880004
12401,303,1,84.3,16.86,11,5,Belgium,11.0,5.717027701406222,0.6931471805599453,4.446174454497633,2.4849066497880004,1.791759469228055
12402,323,6,1256.9,17.955714285714286,584,43,Belgium,97.33333333333333,5.780743515792329,1.9459101490553132,7.137198942844827,6.371611847231857,3.784189633918261
